air_date,season,episode_overall,episode_in_season,song,original_artist,genre,original_release_year,years_since_release,performed_by,is_cameo,duet_with,version_covered,rerun,video_id,video_url,video_source,video_title,video_views,video_seconds
2020-06-16,1,141,141,Chain of Fools,Aretha Franklin,R&B / Soul,1967,53,Kelly Clarkson,no,,,no,4Fn8j7qMSgc,https://www.youtube.com/watch?v=4Fn8j7qMSgc,KC Videos archive,Kellyoke | Chain of Fools (Aretha Franklin),53000,94
2020-06-17,1,142,142,There She Goes,Sixpence None the Richer,Pop,1988,32,Kelly Clarkson,no,,,no,ENNUZd4T6vA,https://www.youtube.com/watch?v=ENNUZd4T6vA,KC Videos archive,Kellyoke | There She Goes (Sixpence None the Richer),8700,101
2020-06-18,1,143,143,Sweet Dreams (Are Made of This),Eurythmics,Pop,1983,37,Kelly Clarkson,no,,,no,C9fHiCZYS3k,https://www.youtube.com/watch?v=C9fHiCZYS3k,KC Videos archive,Kellyoke | Sweet Dreams (The Eurythmics),105000,110
2020-06-19,1,144,144,I'd Rather Go Blind,Etta James,R&B / Soul,1967,53,Kelly Clarkson,no,,,no,-RrvFQuWtbg,https://www.youtube.com/watch?v=-RrvFQuWtbg,KC Videos archive,Kellyoke | I'd Rather Go Blind (Etta James),142000,110
2020-06-22,1,145,145,Be My Baby,The Ronettes,Pop,1963,57,Kelly Clarkson,no,,,no,X99xay-7y7g,https://www.youtube.com/watch?v=X99xay-7y7g,KC Videos archive,Kellyoke | Be My Baby (The Ronettes),41000,97
2020-06-23,1,146,146,Señorita,Shawn Mendes with Camila Cabello,Latin,2019,1,Kelly Clarkson,no,,,no,p3_5Jn0P87o,https://www.youtube.com/watch?v=p3_5Jn0P87o,KC Videos archive,Kellyoke | Senorita (Shawn Mendes),10000,90
2020-06-24,1,147,147,Unpretty,TLC,Rock,1999,21,Kelly Clarkson,no,,,no,sPzZ2fJdho0,https://www.youtube.com/watch?v=sPzZ2fJdho0,KC Videos archive,Kellyoke | Unpretty (TLC),13000,95
2020-06-25,1,148,148,Stay (I Missed You),Lisa Loeb & Nine Stories,Pop,,,Kelly Clarkson,no,,,no,OInmwMYjxWk,https://www.youtube.com/watch?v=OInmwMYjxWk,KC Videos archive,Kellyoke | Stay (Lisa Loeb),11000,98
2020-06-26,1,149,149,Cowboy Take Me Away,The Dixie Chicks,Country,1999,21,Kelly Clarkson,no,,,no,-z-FvoK60E0,https://www.youtube.com/watch?v=-z-FvoK60E0,KC Videos archive,Kellyoke | Cowboy Take Me Away (The Chicks),29000,100
2020-06-29,1,150,150,You Need to Calm Down,Taylor Swift,Pop,2019,1,Kelly Clarkson,no,,,no,ZdxWkiYtrPs,https://www.youtube.com/watch?v=ZdxWkiYtrPs,KC Videos archive,Kellyoke | You Need To Calm Down (Taylor Swift),28000,106
2020-06-30,1,151,151,Every Breath You Take,The Police,Rock,1983,37,Kelly Clarkson,no,,,no,dPfDLq4yGEI,https://www.youtube.com/watch?v=dPfDLq4yGEI,KC Videos archive,Kellyoke | Every Breath You Take (The Police),54000,106
2020-07-01,1,152,152,Just Like Heaven,The Cure,Rock,1987,33,Kelly Clarkson,no,,,no,r31UFg5oCSg,https://www.youtube.com/watch?v=r31UFg5oCSg,KC Videos archive,Kellyoke | Just Like Heaven (The Cure),30000,98
